"id_event","disease","serotype","latitude","longitude","locality","country","region","observation_date","report_date","species","diagnosis_source","humans_affected","humans_deaths","diagnosis_status","species_category","ano","anoleg"
231412,"Bluetongue","4",43.9683,19.5789,"Višesava, Bajina Bašta","Serbia","Europe",2017-03-23,2017-10-20,"Domestic,Sheep,Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
231413,"Bluetongue","4",43.746055,19.871631,"Nikojevići, Užice, Zlatiborski","Serbia","Europe",2017-04-14,2017-10-20,"Domestic,Sheep,Domestic,Cattle,Domestic,Goats,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
228588,"Bluetongue","4",46.17,12.89,"Pinzano al Tagliamento","Italy","Europe",2017-04-05,2017-06-23,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
228591,"Bluetongue","4",45.89,12.52,"Brugnera","Italy","Europe",2017-04-10,2017-06-23,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
223966,"Bluetongue","4",46.12,12.76,"MANIAGO","Italy","Europe",2017-01-27,2017-02-21,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
228593,"Bluetongue","4",46.05,12.78,"Vivaro","Italy","Europe",2017-05-30,2017-06-23,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
223480,"Bluetongue","4",45.98,12.56,"FONTANAFREDDA","Italy","Europe",2017-01-10,2017-02-08,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
228592,"Bluetongue","4",46.12,13.38,"Torreano","Italy","Europe",2017-04-18,2017-06-23,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
228594,"Bluetongue","4",46.49,13.65,"Tarvisio","Italy","Europe",2017-06-01,2017-06-23,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
227093,"Bluetongue","4",46.04,13.21,"UDINE","Italy","Europe",2017-03-28,2017-04-20,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
227094,"Bluetongue","4",45.99,13.21,"POZZUOLO DEL FRIULI","Italy","Europe",2017-03-28,2017-04-20,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
225169,"Bluetongue","4",46.14377,13.55664,"SAN LEONARDO","Italy","Europe",2017-03-07,2017-03-14,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
228589,"Bluetongue","4",46.19,12.85,"Travesio","Italy","Europe",2017-04-05,2017-06-23,"Domestic,Cattle,Domestic,Goats,Domestic,Sheep,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
223479,"Bluetongue","4",45.75,9.83,"ALBINO","Italy","Europe",2017-01-03,2017-02-08,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
223965,"Bluetongue","4",45.33,11.38,"ZIMELLA","Italy","Europe",2017-01-26,2017-02-21,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
227089,"Bluetongue","4",45.81,11.92,"ASOLO","Italy","Europe",2017-03-17,2017-04-20,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
227088,"Bluetongue","4",45.81,11.92,"ASOLO","Italy","Europe",2017-03-17,2017-04-20,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
227092,"Bluetongue","4",45.84,11.84,"PADERNO DEL GRAPPA","Italy","Europe",2017-03-20,2017-04-20,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
227091,"Bluetongue","4",45.82,11.79,"BORSO DEL GRAPPA","Italy","Europe",2017-03-20,2017-04-20,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
228590,"Bluetongue","4",45.92,11.93,"Quero vas","Italy","Europe",2017-04-06,2017-06-23,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
227090,"Bluetongue","4",45.84,11.84,"PADERNO DEL GRAPPA","Italy","Europe",2017-03-17,2017-04-20,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
227087,"Bluetongue","4",45.79,12.07,"MONTEBELLUNA","Italy","Europe",2017-03-09,2017-04-20,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
224878,"Bluetongue","4",45.55,11.18,"TREGNAGO","Italy","Europe",2017-02-15,2017-03-03,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
225750,"Bluetongue","Not specified",-24.28333,26.21667,"Malotwana","Botswana","Africa",2017-01-25,2017-03-28,"Domestic,Sheep,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
226304,"Bluetongue","Not specified",-24.62645,26.1015,"Ruretse","Botswana","Africa",2017-03-10,2017-04-10,"Domestic,Sheep,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
224748,"Bluetongue","8",47.800833,7.381111,"BALDERSHEIM","France","Europe",2017-02-21,2017-02-27,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
227237,"Bluetongue","8",47.820556,7.3825,"BATTENHEIM","France","Europe",2017-04-03,2017-04-27,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
224756,"Bluetongue","8",43.476792,-0.378526,"AUGA","France","Europe",2017-02-22,2017-02-27,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
226552,"Bluetongue","8",45.539895,3.009041,"ST DIERY","France","Europe",2017-04-06,2017-04-13,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
224722,"Bluetongue","8",45.23247,3.330951,"ST JUST PRES BRIOUDE","France","Europe",2017-02-15,2017-02-27,"Domestic,Cattle,","WOAH (former OIE)",NA,NA,"Confirmed",NA,"2017","2017(739)"
